Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-06-01 16:09:24,false,"York Running","3.01","296","00:33:20","147","163","165","175","11:05","5:07","27","23","0.88","0.0","0.0","0.0","0.0","0.0","33:20","0:00","0.0","0:00","No","00:03.76","4","0.0"
Running,2020-05-28 15:59:22,false,"York Running","2.47","246","00:27:37","148","163","166","175","11:09","9:22","24","5","0.87","0.0","0.0","0.0","0.0","0.0","27:37","0:00","0.0","0:00","No","05:11.99","3","0.0"
Running,2020-05-26 16:08:39,false,"York Running","3.00","290","00:33:58","142","159","164","230","11:18","7:56","29","8","0.87","0.0","0.0","0.0","0.0","0.0","33:58","0:00","0.0","0:00","No","00:02.97","4","0.0"
Running,2020-05-25 07:48:18,false,"York Running","2.47","230","00:27:48","140","151","168","178","11:16","3:47","34","34","0.85","0.0","0.0","0.0","0.0","0.0","27:48","0:00","0.0","0:00","No","05:06.34","3","0.0"
Running,2020-05-19 16:05:22,false,"York Running","4.00","399","00:44:59","149","170","167","179","11:14","9:49","37","21","0.86","0.0","0.0","0.0","0.0","0.0","44:59","0:00","0.0","0:00","No","00:02.13","5","0.0"
Running,2020-05-17 07:14:36,false,"York Running","7.50","751","01:27:43","148","162","166","182","11:42","3:30","101","80","0.83","0.0","0.0","0.0","0.0","0.0","1:27:43","0:00","0.0","0:00","No","05:20.19","8","0.0"
Running,2020-05-14 17:14:24,false,"York Running","2.88","298","00:31:58","154","165","166","178","11:05","8:17","44","39","0.87","0.0","0.0","0.0","0.0","0.0","31:58","0:00","0.0","0:00","No","09:36.82","3","0.0"
Running,2020-05-12 15:52:53,false,"York Running","3.91","418","00:44:19","156","183","166","179","11:21","7:46","41","44","0.85","0.0","0.0","0.0","0.0","0.0","44:19","0:00","0.0","0:00","No","09:55.35","4","0.0"
Running,2020-05-10 07:57:37,false,"York Running","5.32","513","01:01:01","144","153","168","178","11:28","9:55","52","37","0.83","0.0","0.0","0.0","0.0","0.0","1:01:01","0:00","0.0","0:00","No","03:32.02","6","0.0"
Running,2020-05-06 11:29:29,false,"York Running","2.98","324","00:34:40","154","164","162","174","11:39","8:51","41","37","0.86","0.0","0.0","0.0","0.0","0.0","34:40","0:00","0.0","0:00","No","11:15.75","3","0.0"
Running,2020-05-03 08:01:56,false,"York Running","4.03","395","00:45:31","145","157","166","179","11:18","9:51","39","38","0.86","0.0","0.0","0.0","0.0","0.0","45:31","0:00","0.0","0:00","No","00:14.46","5","0.0"
Running,2020-04-29 07:30:06,false,"York Running","2.00","212","00:22:20","156","170","165","179","11:09","3:22","19","--","0.88","0.0","0.0","0.0","0.0","0.0","22:20","0:00","0.0","0:00","No","00:02.60","3","0.0"
Running,2020-04-28 16:04:34,false,"York Running","1.51","132","00:17:16","136","166","165","174","11:26","7:42","10","--","0.86","0.0","0.0","0.0","0.0","0.0","17:16","0:00","0.0","0:00","No","05:39.66","2","0.0"
Running,2020-04-27 15:56:09,false,"Running","1.00","101","00:11:42","144","163","163","173","11:40","10:48","--","--","0.85","0.0","0.0","0.0","0.0","0.0","11:42","0:00","0.0","0:00","No","00:02.26","2","0.0"
Running,2020-04-19 07:24:56,false,"York Running","2.50","261","00:28:50","148","159","165","176","11:31","8:35","--","--","0.85","0.0","0.0","0.0","0.0","0.0","28:50","0:00","0.0","0:00","No","05:37.75","3","0.0"
Running,2020-03-30 11:43:06,false,"York Running","1.94","164","00:22:39","133","174","163","181","11:39","7:22","19","10","0.85","0.0","0.0","0.0","0.0","0.0","22:39","0:00","0.0","0:00","No","11:09.18","2","0.0"
Running,2020-03-19 07:14:28,false,"York Running","2.88","302","00:33:21","151","162","166","181","11:36","6:05","45","34","0.83","0.0","0.0","0.0","0.0","0.0","33:21","0:00","0.0","0:00","No","09:34.47","3","0.0"
Running,2020-03-16 16:58:46,false,"York Running","4.07","434","00:46:24","152","165","165","179","11:24","5:41","55","57","0.86","0.0","0.0","0.0","0.0","0.0","46:24","0:00","0.0","0:00","No","00:44.83","5","0.0"
Running,2020-03-14 07:31:07,false,"York Running","9.95","911","01:55:53","144","163","169","185","11:39","1:21","150","158","0.82","0.0","0.0","0.0","0.0","0.0","1:55:53","0:00","0.0","0:00","No","10:50.89","10","0.0"
Running,2020-03-11 16:43:15,false,"York Running","6.02","604","01:09:22","147","162","166","243","11:31","6:38","79","81","0.84","0.0","0.0","0.0","0.0","0.0","1:09:22","0:00","0.0","0:00","No","00:16.67","7","0.0"
Running,2020-03-09 16:37:07,false,"York Running","4.00","394","00:45:08","145","154","166","179","11:16","4:50","95","80","0.86","0.0","0.0","0.0","0.0","0.0","45:08","0:00","0.0","0:00","No","00:02.35","5","0.0"
Running,2020-03-08 07:27:43,false,"York Running","10.00","940","01:52:02","147","160","170","182","11:12","5:16","195","187","0.85","0.0","0.0","0.0","0.0","0.0","1:52:02","0:00","0.0","0:00","No","00:01.64","11","0.0"
Running,2020-03-04 16:39:29,false,"York Running","6.01","624","01:07:01","153","169","165","235","11:09","8:44","79","96","0.88","0.0","0.0","0.0","0.0","0.0","1:07:01","0:00","0.0","0:00","No","00:03.86","7","0.0"
Running,2020-03-02 16:38:03,false,"York Running","4.01","392","00:42:44","150","161","168","179","10:40","8:54","73","87","0.90","0.0","0.0","0.0","0.0","0.0","42:44","0:00","0.0","0:00","No","00:01.80","5","0.0"
Running,2020-02-26 16:57:19,false,"York Running","6.01","615","01:07:22","151","163","164","179","11:13","7:08","72","86","0.88","0.0","0.0","0.0","0.0","0.0","1:07:22","0:00","0.0","0:00","No","00:05.44","7","0.0"
Running,2020-02-24 13:16:13,false,"York Running","4.01","397","00:43:25","150","165","167","182","10:50","4:25","10","11","0.89","0.0","0.0","0.0","0.0","0.0","43:25","0:00","0.0","0:00","No","00:05.91","5","0.0"
Running,2020-02-23 07:47:32,false,"York Running","10.01","917","01:51:45","146","164","168","183","11:10","7:56","178","178","0.86","0.0","0.0","0.0","0.0","0.0","1:51:45","0:00","0.0","0:00","No","00:04.23","11","0.0"
Running,2020-02-19 16:41:26,false,"York Running","6.01","619","01:07:44","152","167","164","180","11:17","6:15","83","98","0.87","0.0","0.0","0.0","0.0","0.0","1:07:44","0:00","0.0","0:00","No","00:03.75","7","0.0"
Running,2020-02-17 16:40:51,false,"York Running","3.96","389","00:42:35","151","169","166","181","10:45","7:28","76","83","0.90","0.0","0.0","0.0","0.0","0.0","42:35","0:00","0.0","0:00","No","09:58.05","4","0.0"
Running,2020-02-16 08:40:32,false,"York Running","8.01","803","01:26:48","156","168","168","183","10:51","7:18","167","134","0.89","0.0","0.0","0.0","0.0","0.0","1:26:48","0:00","0.0","0:00","No","00:04.51","9","0.0"
Running,2020-02-12 16:42:42,false,"York Running","4.00","416","00:43:23","156","165","169","179","10:50","1:29","48","25","0.88","0.0","0.0","0.0","0.0","0.0","43:23","0:00","0.0","0:00","No","00:01.36","5","0.0"
Running,2020-02-10 16:47:08,false,"York Running","3.96","402","00:44:18","150","161","162","180","11:11","3:57","75","71","0.89","0.0","0.0","0.0","0.0","0.0","44:18","0:00","0.0","0:00","No","10:14.71","4","0.0"
Running,2020-02-05 16:39:37,false,"York Running","5.98","611","01:07:17","152","164","162","180","11:15","9:08","88","83","0.88","0.0","0.0","0.0","0.0","0.0","1:07:17","0:00","0.0","0:00","No","10:15.32","6","0.0"
Running,2020-02-03 16:46:37,false,"York Running","3.95","394","00:44:37","148","162","161","177","11:17","4:59","93","87","0.88","0.0","0.0","0.0","0.0","0.0","44:37","0:00","0.0","0:00","No","10:05.68","4","0.0"
Running,2020-02-02 07:59:00,false,"York Running","4.00","397","00:46:07","145","158","165","180","11:32","9:16","43","25","0.84","0.0","0.0","0.0","0.0","0.0","46:07","0:00","0.0","0:00","No","11:07.73","4","0.0"
Running,2020-01-29 17:59:25,false,"York Running","3.95","412","00:44:07","156","165","165","179","11:10","9:02","34","44","0.87","0.0","0.0","0.0","0.0","0.0","44:07","0:00","0.0","0:00","No","10:27.94","4","0.0"
Running,2020-01-27 16:40:38,false,"York Running","4.00","430","00:47:13","152","163","158","178","11:48","2:53","71","74","0.86","0.0","0.0","0.0","0.0","0.0","47:13","0:00","0.0","0:00","No","11:30.82","4","0.0"
Running,2020-01-15 16:36:45,false,"York Running","6.04","642","01:10:11","153","168","163","180","11:37","9:53","43","51","0.85","0.0","0.0","0.0","0.0","0.0","1:10:11","0:00","0.0","0:00","No","00:27.47","7","0.0"
Running,2020-01-13 16:33:24,false,"York Running","3.95","419","00:46:17","149","158","164","223","11:42","9:16","80","72","0.84","0.0","0.0","0.0","0.0","0.0","46:17","0:00","0.0","0:00","No","11:12.09","4","0.0"
